RecId,FIPSCode,RecordCount2020,RecordCount2021,TIV2020,TIV2021,DifferenceTIV,DifferenceRecordCount,Bucket
383,45047,2,6,678511,2645179,1966668,4,1
384,13245,0,1,0,2668233,2668233,1,1
385,48189,0,26,0,2712499,2712499,26,1
386,25017,1,4,1207500,2724587,1517087,3,1
387,48157,11,20,1568760,2756954,1188194,9,1
388,42031,11,9,2479011,2805143,326132,-2,1
389,48481,0,34,0,2890000,2890000,34,1
390,18097,2,24,425478,2932097.92,2506619.92,22,1
391,47119,0,2,0,3045000,3045000,2,1
392,48099,0,18,0,3060000,3060000,18,1
393,34007,0,9,0,3069185,3069185,9,1
394,40117,2,3,536550,3087752,2551202,1,1
395,48003,0,20,0,3101480,3101480,20,1
396,34021,6,6,2906400,3175661,269261,0,1
397,47053,1,15,55790,3186082,3130292,14,1
398,48485,0,15,0,3199702,3199702,15,1
399,29183,1,20,99550,3219677,3120127,19,1
400,42033,11,12,2627587,3295850,668263,1,1
401,39103,0,15,0,3327193,3327193,15,1
402,47037,0,15,0,3428750,3428750,15,1
403,48167,27,22,3649165,3460412,-188753,-5,1
404,42099,21,22,3280498,3474147,193649,1,1
405,42085,38,33,4301545,3503683,-797862,-5,1
406,48257,0,13,0,3575495,3575495,13,1
407,28049,0,40,0,3712600,3712600,40,1
408,36061,1,4,1048000,3715000,2667000,3,1
409,36085,1,7,1097000,3730820,2633820,6,1
410,36029,0,33,0,3769237,3769237,33,1
411,42055,14,20,2849455,3818116,968661,6,1
412,48097,0,30,0,3826610,3826610,30,1
413,48309,3,21,400580,3904420,3503840,18,1
414,45003,3,4,3416580,3913500,496920,1,1
415,39093,0,24,0,3926850,3926850,24,1
416,01003,0,34,0,3998900,3998900,34,1
417,48451,0,42,0,4008587,4008587,42,1
418,40009,0,21,0,4054005,4054005,21,1
419,18095,1,4,80400,4105190,4024790,3,1
420,01073,7,26,956291,4134171,3177880,19,1
421,48281,87,45,7640950,4186170,-3454780,-42,1
422,47107,2,2,150920,4260000,4109080,0,1
423,48183,0,37,0,4264465,4264465,37,1
424,51630,15,14,5003221,4296135,-707086,-1,1
425,42087,90,73,5675166,4304578,-1370588,-17,1
426,29095,4,40,465028,4309188,3844160,36,1
427,36103,1,20,455000,4409217,3954217,19,1
428,36071,5,12,8420000,4418961,-4001039,7,1
429,48231,0,26,0,4498579,4498579,26,1
430,51043,10,7,4639467,4504524,-134943,-3,1
431,51840,20,26,3750718,4597496,846778,6,1
432,22077,3,13,868877,4635000,3766123,10,1
433,13045,0,3,0,4668056,4668056,3,1
434,09003,3,9,959273,4674545,3715272,6,1
435,48181,0,24,0,4722174,4722174,24,1
436,40119,0,47,0,4824922,4824922,47,1
437,51157,67,55,7938049,4920230,-3017819,-12,1
438,36007,7,6,4487746,4925046,437300,-1,1
439,48251,2,26,293400,4932520,4639120,24,1
440,39035,0,36,0,5150605,5150605,36,1
441,51083,31,34,3974059,5226671,1252612,3,1
442,37145,0,45,0,5238910,5238910,45,1
443,42009,52,49,4925621,5425688,500067,-3,1
444,39113,2,41,581332,5517262,4935930,39,1
445,51049,43,48,5415970,5761716,345746,5,1
446,48215,0,16,0,6021246,6021246,16,1
447,13021,34,29,4251080,6126307,1875227,-5,1
448,48453,0,39,0,6142160,6142160,39,1
449,42011,5,10,873824,6148713,5274889,5,1
450,51197,39,33,7515735,6155996,-1359739,-6,1
451,21227,0,49,0,6171000,6171000,49,1
452,42071,16,26,2840956,6669890,3828934,10,1
453,37153,2,5,2021620,6697620,4676000,3,1
454,13151,0,4,0,6802316,6802316,4,1
455,36059,2,11,526000,6929417,6403417,9,1
456,51683,20,17,6250803,7120346,869543,-3,1
457,42043,40,31,7080923,7276616,195693,-9,1
458,51111,33,31,6062309,7408410,1346101,-2,1
459,51141,60,63,6873215,7448359,575144,3,1
460,09009,11,22,2736338,7496488,4760150,11,1
461,13089,2,13,276303,7572124,7295821,11,1
462,18057,1,38,290254,7767394,7477140,37,1
463,40145,31,51,2880080,7802254,4922174,20,1
464,45051,53,77,5268330,7942370,2674040,24,1
465,40037,0,73,0,8405752,8405752,73,1
466,42041,21,19,8083182,8415534,332352,-2,1
467,51640,108,91,8009810,8672790,662980,-17,1
468,48085,2,61,184500,8844587,8660087,59,1
469,45085,7,11,541960,8918360,8376400,4,1
470,13153,15,34,2249330,9173238,6923908,19,1
471,48121,0,75,0,9240670,9240670,75,1
472,51181,38,46,8381739,9405493,1023754,8,1
473,51037,64,36,11137023,9427116,-1709907,-28,1
474,13051,0,9,0,9748067,9748067,9,1
475,45013,15,26,1398610,9785232,8386622,11,1
476,34039,12,27,8245505,10103099,1857594,15,1
477,42013,85,75,12182633,10153161,-2029472,-10,1
478,51077,117,84,11721347,10169919,-1551428,-33,1
479,40125,0,142,0,10273381,10273381,142,1
480,51097,36,31,12213666,10524090,-1689576,-5,1
481,42005,79,75,10747389,10780454,33065,-4,1
482,51183,34,45,6749739,11212548,4462809,11,1
483,34009,182,180,11082950,11225250,142300,-2,1
484,45019,2,9,199600,11267175,11067575,7,1
485,42021,36,36,11230818,11516668,285850,0,1
486,34001,4,35,1483700,11597485,10113785,31,1
487,36087,2,22,990000,11679889,10689889,20,1
488,29189,28,95,3299542,11813820,8514278,67,1
489,42027,49,44,17111641,12365578,-4746063,-5,1
490,42045,7,17,424949,12500584,12075635,10,1
491,51179,54,54,13079953,12796815,-283138,0,1
492,51035,117,81,15620625,12843558,-2777067,-36,1
493,34017,14,24,10974248,13199823,2225575,10,1
494,51011,41,44,10369098,13302272,2933174,3,1
495,42049,45,55,10482428,13576559,3094131,10,1
496,01125,0,6,0,13972494,13972494,6,1
497,48201,37,95,4923720,14374693,9450973,58,1
498,51053,65,94,11817254,14379890,2562636,29,1
499,51175,83,83,14913049,14543727,-369322,0,1
500,36119,7,13,9227934,14642374,5414440,6,1
501,47157,60,132,6465390,14923381,8457991,72,1
502,51117,51,52,14484592,15328029,843437,1,1
503,42101,1,90,265000,15549424,15284424,89,1
504,42029,2,11,667218,15581669,14914451,9,1
